quarter,wage_sa,cpi_all,cpi_rent,date,real_wage,wage_to_rent,wage_index_2015=100,rent_index_2015=100,cpi_all_index_2015=100,real_wage_index_2015=100,wage_to_rent_index_2015=100,wage_sa_yoy_pct,cpi_rent_yoy_pct
1996Q1,695.3067392028411,153.9,172.3,1996-03-31,4.517912535431066,4.0354424794128905,129.63887137189693,115.25083612040135,118.293620292083,109.59075481146061,112.48410487578984,9.79772684438327,3.421368547418968
1996Q3,709.1692013627451,156.3,176.6,1996-09-30,4.537230974809629,4.0156806419181486,132.22350610577848,118.12709030100335,120.13835511145274,110.05936112835431,111.93326253008993,6.504613858216501,4.869358669833712
1997Q1,738.820714500004,158.9,181.3,1997-03-31,4.649595434235393,4.075128044677352,137.75198509332617,121.27090301003345,122.13681783243659,112.78497961385612,113.5903021039838,10.549642296320961,7.278106508875748
1997Q3,763.279583041258,161.9,188.9,1997-09-30,4.714512557388869,4.040654224675796,142.3123034879919,126.35451505016724,124.44273635664874,114.35967068429737,112.62937729727255,12.424308997743672,10.53247513165594
1998Q1,787.5793423982111,164.2,195.9,1998-03-31,4.796463717406889,4.0203131311802505,146.84295622013104,131.03678929765888,126.21060722521138,116.34755544603561,112.06238874379575,13.270776477897982,13.697040046430642
1998Q3,809.821135716793,166.9,203.4,1998-09-30,4.852133826943038,3.9814215128652557,150.98990435184876,136.05351170568562,128.2859338970023,117.697942217948,110.97832202852204,14.192936489717045,15.175537938844851
1999Q1,833.5171739729069,170.8,210.0,1999-03-31,4.880077130988916,3.9691293998709853,155.40799421392865,140.46822742474916,131.2836279784781,118.3757614006564,110.63569111896348,12.817244781366032,15.83011583011582
1999Q3,901.933724654162,174.2,217.1,1999-09-30,5.177575916499208,4.154462112640083,168.16415478795784,145.21739130434784,133.89700230591853,125.59217300753913,115.80166347673743,18.165577161181478,14.928533615669659
2000Q1,977.743317791952,177.7,223.8,2000-03-31,5.502213380933889,4.368826263592279,182.29873674931395,149.6989966555184,136.587240584166,133.4668860500042,121.77685944603411,24.145373698437012,14.241960183767223
2000Q3,1038.26008110852,182.6,233.4,2000-09-30,5.685980728962321,4.448415086154755,193.58199412782668,156.12040133779263,140.35357417371253,137.92452046018755,123.99532185994038,28.208567956124007,14.749262536873164
2001Q1,1088.54206363216,188.7,246.9,2001-03-31,5.768638387027876,4.408837843791657,202.9569923799355,165.1505016722408,145.04227517294387,139.9295427060393,122.89214402916306,30.596236960984633,17.57142857142857
